Warehouse,Material,Value
UPS_A,10252223,346.5
UPS_A,11005154,227.0
UPS_A,11007471,241.5
UPS_A,11021224,227.0
UPS_R,11105,697.0
UPS_R,11106,3024.0
UPS_R,13057,93956.0
UPS_R,16482,658.0
UPS_R,10144955,227.0
UPS_R,10152865,243.5
UPS_R,10152866,257.5
UPS_R,10165920,1666.0
UPS_R,10166249,2689.0
UPS_R,10168622,10225.5
UPS_R,10168623,3614.5
UPS_R,10170967,1599.0
UPS_R,10170968,406.0
UPS_R,10170969,248.0
UPS_R,10172336,845.0
UPS_R,10172917,227.0
UPS_R,10182112,227.0
UPS_R,10191864,243.0
UPS_R,10192742,227.5
UPS_R,10196713,4620.5
UPS_R,10202843,15048.5
UPS_R,10203082,227.0
UPS_R,10205067,15028.5
UPS_R,10205282,9107.0
UPS_R,10206804,349.5
UPS_R,10207683,2542.5
UPS_R,10208357,232.5
UPS_R,10210044,304.5
UPS_R,10210048,260.0
UPS_R,10213717,6706.0
UPS_R,10213870,254.5
UPS_R,10215080,227.0
UPS_R,10215082,284.0
UPS_R,10216200,11242.5
UPS_R,10223975,38937.5
UPS_R,10224493,4572.0
UPS_R,10224526,691.5
UPS_R,10224564,455.5
UPS_R,10224590,3411.5
UPS_R,10224626,2020.5
UPS_R,10225098,238.0
UPS_R,10225861,8375.0
UPS_R,10225862,56462.0
UPS_R,10226039,12513.0
UPS_R,10231583,44278.5
UPS_R,10231651,16165.5
UPS_R,10235845,303.5
UPS_R,10235846,228.5
UPS_R,10236901,227.0
UPS_R,10240140,1010.5
UPS_R,10240151,3929.0
UPS_R,10240181,1749.0
UPS_R,10240187,7268.5
UPS_R,10240591,229.5
UPS_R,10240596,232.5
UPS_R,10242244,227.0
UPS_R,10242259,227.0
UPS_R,10242459,124428.5
UPS_R,10242662,242.0
UPS_R,10242679,227.0
UPS_R,10246447,227.0
UPS_R,10247692,679.5
UPS_R,10248405,471.5
UPS_R,10250464,4977.5
UPS_R,10252750,256.0
UPS_R,10252926,227.0
UPS_R,11003059,373.0
UPS_R,11004892,246.5
UPS_R,11005596,230.5
UPS_R,11008082,241.0
UPS_R,11008092,241.5
